"CELL_SEQ","ROW_SEQ","COL_SEQ","UPLOAD_SEQ","CELL_VALUE","BG_COLOR"
1,43,93,43,"10 '23",#00B050
2,43,94,43,"12 '23",#00B050
3,43,95,43,,#E8E8E8
4,43,96,43,,#E8E8E8
5,43,97,43,,#E8E8E8
6,43,98,43,,#E8E8E8
7,43,99,43,,#E8E8E8
8,43,100,43,,#E8E8E8
9,43,101,43,,#E8E8E8
10,43,102,43,,#E8E8E8
11,43,103,43,,#E8E8E8
12,43,104,43,"11 '23",#00B050
13,43,105,43,"01 '24",#0070C0
14,43,106,43,,#E8E8E8
15,43,107,43,,#E8E8E8
16,43,108,43,,#E8E8E8
17,44,93,43,"10 '23",#00B050
18,44,94,43,"12 '23",#00B050
19,44,95,43,,#E8E8E8
20,44,96,43,,#E8E8E8
21,44,97,43,,#E8E8E8
22,44,98,43,,#E8E8E8
23,44,99,43,,#E8E8E8
24,44,100,43,,#E8E8E8
25,44,101,43,,#E8E8E8
26,44,102,43,,#E8E8E8
27,44,103,43,,#E8E8E8
28,44,104,43,"11 '23",#00B050
29,44,105,43,"01 '24",#0070C0
30,44,106,43,,#E8E8E8
31,44,107,43,,#E8E8E8
32,44,108,43,,#E8E8E8
33,45,93,43,,#E8E8E8
34,45,94,43,"02 '24",#0070C0
35,45,95,43,"03 '25",#FF6600
36,45,96,43,"03 '25",#FF6600
37,45,97,43,,#E8E8E8
38,45,98,43,,#E8E8E8
39,45,99,43,,#E8E8E8
40,45,100,43,,#E8E8E8
41,45,101,43,,#E8E8E8
42,45,102,43,,#E8E8E8
43,45,103,43,,#E8E8E8
44,45,104,43,,#E8E8E8
45,45,105,43,"04 '24",#0070C0
46,45,106,43,"04 '24",#0070C0
47,45,107,43,,#E8E8E8
48,45,108,43,,#E8E8E8
49,46,93,43,,#E8E8E8
50,46,94,43,"06 '24",#0070C0
51,46,95,43,"06 '25",#FF6600
52,46,96,43,"06 '25",#FF6600
53,46,97,43,"07 '25",#FF6600
54,46,98,43,,#E8E8E8
55,46,99,43,,#E8E8E8
56,46,100,43,,#E8E8E8
57,46,101,43,,#E8E8E8
58,46,102,43,,#E8E8E8
59,46,103,43,,#E8E8E8
60,46,104,43,,#E8E8E8
61,46,105,43,"07 '24",#0070C0
62,46,106,43,"07 '24",#0070C0
63,46,107,43,"07 '24",#0070C0
64,46,108,43,,#E8E8E8
65,47,93,43,,#E8E8E8
66,47,94,43,,#E8E8E8
67,47,95,43,"08 '25",#FF6600
68,47,96,43,"08 '25",#FF6600
69,47,97,43,"08 '25",#FF6600
70,47,98,43,,#E8E8E8
71,47,99,43,,#E8E8E8
72,47,100,43,,#E8E8E8
73,47,101,43,,#E8E8E8
74,47,102,43,,#E8E8E8
75,47,103,43,,#E8E8E8
76,47,104,43,,#E8E8E8
77,47,105,43,,#E8E8E8
78,47,106,43,"08 '24",#0070C0
79,47,107,43,"08 '24",#0070C0
80,47,108,43,,#E8E8E8
81,48,93,43,,#E8E8E8
82,48,94,43,,#E8E8E8
83,48,95,43,,#E8E8E8
84,48,96,43,,#E8E8E8
85,48,97,43,,#E8E8E8
86,48,98,43,"09 '24",#0070C0
87,48,99,43,"10 '25",#FF6600
88,48,100,43,,#E8E8E8
89,48,101,43,,#E8E8E8
90,48,102,43,,#E8E8E8
91,48,103,43,,#E8E8E8
92,48,104,43,,#E8E8E8
93,48,105,43,,#E8E8E8
94,48,106,43,,#E8E8E8
95,48,107,43,"09 '24",#0070C0
96,48,108,43,,#E8E8E8
97,49,93,43,,#E8E8E8
98,49,94,43,,#E8E8E8
99,49,95,43,,#E8E8E8
