"CELL_SEQ","UPLOAD_SEQ","ROW_IDX","COL_TYPE","COL_SEQ","CELL_VALUE","BG_COLOR"
1,1,0,SPEC,1,RDIMM,
2,1,0,SPEC,2,"1A P-DIE",
3,1,0,SPEC,3,WC,
4,1,0,SPEC,4,"16GB",
5,1,0,SPEC,5,"2RX4",
6,1,0,SPEC,6,"5600",
7,1,0,CHIP,1,"10 '23",#00B050
8,1,0,CHIP,2,"12 '23",#00B050
9,1,0,CHIP,3,,#E8E8E8
10,1,0,CHIP,4,,#E8E8E8
11,1,0,CHIP,5,,#E8E8E8
12,1,0,CHIP,6,,#E8E8E8
13,1,0,CHIP,7,,#E8E8E8
14,1,0,CHIP,8,,#E8E8E8
15,1,0,CHIP,9,,#E8E8E8
16,1,0,CHIP,10,,#E8E8E8
17,1,0,CHIP,11,,#E8E8E8
18,1,0,CHIP,12,"11 '23",#00B050
19,1,0,CHIP,13,"01 '24",#0070C0
20,1,0,CHIP,14,,#E8E8E8
21,1,0,CHIP,15,,#E8E8E8
22,1,0,CHIP,16,,#E8E8E8
23,1,1,SPEC,1,RDIMM,
24,1,1,SPEC,2,"1A P-DIE",
25,1,1,SPEC,3,WC,
26,1,1,SPEC,4,"32GB",
27,1,1,SPEC,5,"2RX4",
28,1,1,SPEC,6,"5600",
29,1,1,CHIP,1,"10 '23",#00B050
30,1,1,CHIP,2,"12 '23",#00B050
31,1,1,CHIP,3,,#E8E8E8
32,1,1,CHIP,4,,#E8E8E8
33,1,1,CHIP,5,,#E8E8E8
34,1,1,CHIP,6,,#E8E8E8
35,1,1,CHIP,7,,#E8E8E8
36,1,1,CHIP,8,,#E8E8E8
37,1,1,CHIP,9,,#E8E8E8
38,1,1,CHIP,10,,#E8E8E8
39,1,1,CHIP,11,,#E8E8E8
40,1,1,CHIP,12,"11 '23",#00B050
41,1,1,CHIP,13,"01 '24",#0070C0
42,1,1,CHIP,14,,#E8E8E8
43,1,1,CHIP,15,,#E8E8E8
44,1,1,CHIP,16,,#E8E8E8
