"COL_H_SEQ","COL_SEQ","UPLOAD_SEQ","VENDOR","COL_IDX","CHIP_NM","CHIP_DT","SORT_ORDER"
1,93,43,INTEL,6,"SPR-SP
(4800)","01 '23",0
2,94,43,INTEL,7,"EMR-SP
(5600)","12 '23",1
3,95,43,INTEL,8,"GNR-AP
(6400)","01 '25",2
4,96,43,INTEL,9,"GNR-SP
(6400)","01 '25",3
5,97,43,INTEL,10,"SRF-AP
(6400)","06 '25",4
6,98,43,INTEL,11,"SRF-SP
(6400)","07 '24",5
7,99,43,INTEL,12,"GNR-APOC
(7200)","01 '25",6
8,100,43,INTEL,13,"CWF-AP
(7200)","06 '26",7
9,101,43,INTEL,14,"CWF-AP
(8000)","06 '26",8
10,102,43,INTEL,15,"DMR
(8000)","09 '27",9
11,103,43,INTEL,16,"DMROC
(8800)","09 '27",10
12,104,43,AMD,17,"GENOA
(4800)","12 '23",11
13,105,43,AMD,18,"TURIN
(5600)","08 '24",12
14,106,43,AMD,19,"TURIN
(6400)","08 '24",13
15,107,43,AMD,20,"TURIN
(7200)","08 '24",14
16,108,43,AMD,21,"VENICE
(8000)","06 '26",15
17,109,44,INTEL,6,"SPR-SP
(4800)","01 '23",0
18,110,44,INTEL,7,"EMR-SP
(5600)","12 '23",1
19,111,44,INTEL,8,"GNR-AP
(6400)","01 '25",2
20,112,44,INTEL,9,"GNR-SP
(6400)","01 '25",3
21,113,44,INTEL,10,"SRF-AP
(6400)","06 '25",4
22,114,44,INTEL,11,"SRF-SP
(6400)","07 '24",5
23,115,44,INTEL,12,"GNR-APOC
(7200)","01 '25",6
24,116,44,AMD,13,"GENOA
(4800)","12 '23",7
25,117,44,AMD,14,"TURIN
(5600)","08 '24",8
26,118,44,AMD,15,"TURIN
(6400)","08 '24",9
27,119,44,AMD,16,"TURIN
(7200)","08 '24",10
28,120,44,AMD,17,"VENICE
(8000)","06 '26",11
29,121,44,AMD,18,"GENOA-X
(5600)","06 '24",12
30,122,44,AMD,19,"BERGAMO
(4800)","08 '24",13
31,123,44,AMD,20,"SIENA
(4800)","08 '24",14
32,124,44,AMD,21,"TURIN-X
(6400)","12 '24",15
33,125,44,AMD,22,"VENICE
(6400)","06 '26",16
34,126,44,AMD,23,"VENICE-X
(7200)","09 '26",17
35,127,44,AMD,24,"NIOBE
(6400)","06 '27",18
36,128,44,AMD,25,"NIOBE
(7200)","09 '27",19
37,129,44,AMD,26,"NIOBE
(8000)","12 '27",20
38,130,44,AMD,27,"NIOBE+
(8800)","03 '28",21
39,131,45,SM8450,5,SM8450,"21.9",0
40,132,45,SM8475,6,SM8475,"21.11",1
41,133,45,SM8550,7,SM8550,"22.8",2
42,134,45,SM8635,8,SM8635,"24.3",3
43,135,45,SM8650,9,SM8650,"23.7",4
44,136,45,SM8750,10,SM8750,"24.7",5
45,137,45,SM8735,11,SM8735,"25.3",6
46,138,45,SM8850,12,SM8850,"25.7",7
47,139,45,SM8845,13,SM8845,"25.9",8
48,140,45,SM8847,14,SM8847,"26.4",9
49,141,45,SM8975,15,SM8975,"26.6",10
50,142,45,SM8950,16,SM8950,"26.6",11
