"COL_H_SEQ","COL_SEQ","UPLOAD_SEQ","VENDOR","COL_IDX","CHIP_NM","CHIP_DT","SORT_ORDER"
1,1,1,INTEL,6,"SPR-SP
(4800)","01 '23",0
2,2,1,INTEL,7,"EMR-SP
(5600)","12 '23",1
3,3,1,INTEL,8,"GNR-AP
(6400)","01 '25",2
4,4,1,INTEL,9,"GNR-SP
(6400)","01 '25",3
5,5,1,INTEL,10,"SRF-AP
(6400)","06 '25",4
6,6,1,INTEL,11,"SRF-SP
(6400)","07 '24",5
7,7,1,INTEL,12,"GNR-APOC
(7200)","01 '25",6
8,8,1,INTEL,13,"CWF-AP
(7200)","06 '26",7
9,9,1,INTEL,14,"CWF-AP
(8000)","06 '26",8
10,10,1,INTEL,15,"DMR
(8000)","09 '27",9
11,11,1,INTEL,16,"DMROC
(8800)","09 '27",10
12,12,1,AMD,17,"GENOA
(4800)","12 '23",11
13,13,1,AMD,18,"TURIN
(5600)","08 '24",12
14,14,1,AMD,19,"TURIN
(6400)","08 '24",13
15,15,1,AMD,20,"TURIN
(7200)","08 '24",14
16,16,1,AMD,21,"VENICE
(8000)","06 '26",15
