"ROW_SEQ","UPLOAD_SEQ","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","SORT_ORDER"
43,43,RDIMM,"1A P-DIE",WC,"16GB","2RX4","5600",,,,,0
44,43,RDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",,,,,1
45,43,RDIMM,"1B P-DIE",WC,"32GB","1RX4","6400",,,,,2
46,43,RDIMM,"2A P-DIE",WC,"64GB","2RX4","6400",,,,,3
47,43,RDIMM,"2A P-DIE",WC,"128GB","2RX8","6400",,,,,4
48,43,RDIMM,"3A P-DIE",ES,"64GB","1RX4","7200",,,,,5
49,43,RDIMM,"3B P-DIE",ES,"128GB","2RX4","7200",,,,,6
50,43,LRDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",,,,,7
51,43,LRDIMM,"2A P-DIE",WC,"128GB","4RX4","6400",,,,,8
52,43,LRDIMM,"3A P-DIE",ES,"256GB","4RX4","7200",,,,,9
53,43,SODIMM,"1A P-DIE",WC,"16GB","1RX8","5600",,,,,10
54,43,SODIMM,"1B P-DIE",WC,"32GB","2RX8","5600",,,,,11
55,43,CUDIMM,"2A P-DIE",WC,"32GB","1RX8","6400",,,,,12
56,43,MRDIMM,"3A P-DIE",ES,"128GB","2RX4","8000",,,,,13
57,43,MRDIMM,"4A P-DIE",ES,"256GB","4RX4","8800",,,,,14
58,44,RDIMM,"1A P-DIE",WC,"16GB","2RX4","5600",,,,,0
59,44,RDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",,,,,1
60,44,RDIMM,"1B P-DIE",WC,"32GB","1RX4","6400",,,,,2
61,44,RDIMM,"2A P-DIE",WC,"64GB","2RX4","6400",,,,,3
62,44,RDIMM,"2A P-DIE",WC,"128GB","2RX8","6400",,,,,4
63,44,RDIMM,"3A P-DIE",ES,"64GB","1RX4","7200",,,,,5
64,44,RDIMM,"3B P-DIE",ES,"128GB","2RX4","7200",,,,,6
65,44,LRDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",,,,,7
66,44,LRDIMM,"2A P-DIE",WC,"128GB","4RX4","6400",,,,,8
67,44,LRDIMM,"3A P-DIE",ES,"256GB","4RX4","7200",,,,,9
68,44,SODIMM,"1A P-DIE",WC,"16GB","1RX8","5600",,,,,10
69,44,SODIMM,"1B P-DIE",WC,"32GB","2RX8","5600",,,,,11
70,44,CUDIMM,"2A P-DIE",WC,"32GB","1RX8","6400",,,,,12
71,44,MRDIMM,"3A P-DIE",ES,"128GB","2RX4","8000",,,,,13
72,44,MRDIMM,"4A P-DIE",ES,"256GB","4RX4","8800",,,,,14
73,45,"LP6
1295b 14x14
1070Mbps","16GB","1bnm 16Gb",PDBEREAGY0B1,VP,,,,,,0
74,45,"LP5X,496b
14x12.4
10700Mbps","12GB","1bnm 12Gb",K3KL4L40FA-BGCY,VL,,,,,,1
75,45,,"16GB","1bnm 16Gb",K3KL5L50EB-BGCY,VH,,,,,,2
76,45,,"24GB","1bnm 16Gb",K3KLELE0EA-BGCY,VH,,,,,,3
77,45,"LP7
272b 14x12
9600Mbps","12GB","1bnm 12Gb",K3KL3L30FM-BGCR,VH,,,,,,4
78,45,"LP8X,496b
14x12.4
12800Mbps","8GB","1bnm 8Gb",K3KK3K30CM-BGCR,VL,,,,,,5
79,45,,"12GB","1bnm 12Gb",K3KL3L30GM-BGCR,VL,,,,,,6
80,45,,"16GB","1bnm 16Gb",K3KL5L50FM-BGCR,VH,,,,,,7
81,45,,"24GB","1bnm 16Gb",K3KLELE0FB-BGCR,VH,,,,,,8
82,45,,"32GB","1anm 16Gb",K3LN8N80AM-BGCR,VP,,,,,,9
