"ROW_H_SEQ","ROW_SEQ","UPLOAD_SEQ","DIMM","PRODUCT","VER","DENSITY","ORG","SPEED","SORT_ORDER"
1,1,1,RDIMM,"1A P-DIE",WC,"16GB","2RX4","5600",0
2,2,1,RDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",1
3,3,1,RDIMM,"1B P-DIE",WC,"32GB","1RX4","6400",2
4,4,1,RDIMM,"2A P-DIE",WC,"64GB","2RX4","6400",3
5,5,1,RDIMM,"2A P-DIE",WC,"128GB","2RX8","6400",4
6,6,1,RDIMM,"3A P-DIE",ES,"64GB","1RX4","7200",5
7,7,1,RDIMM,"3B P-DIE",ES,"128GB","2RX4","7200",6
8,8,1,LRDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",7
9,9,1,LRDIMM,"2A P-DIE",WC,"128GB","4RX4","6400",8
10,10,1,LRDIMM,"3A P-DIE",ES,"256GB","4RX4","7200",9
11,11,1,SODIMM,"1A P-DIE",WC,"16GB","1RX8","5600",10
12,12,1,SODIMM,"1B P-DIE",WC,"32GB","2RX8","5600",11
13,13,1,CUDIMM,"2A P-DIE",WC,"32GB","1RX8","6400",12
14,14,1,MRDIMM,"3A P-DIE",ES,"128GB","2RX4","8000",13
15,15,1,MRDIMM,"4A P-DIE",ES,"256GB","4RX4","8800",14
