"ROW_H_SEQ","ROW_SEQ","UPLOAD_SEQ","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","SORT_ORDER"
1,43,43,RDIMM,"1A P-DIE",WC,"16GB","2RX4","5600",,,,,0
2,44,43,RDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",,,,,1
3,45,43,RDIMM,"1B P-DIE",WC,"32GB","1RX4","6400",,,,,2
4,46,43,RDIMM,"2A P-DIE",WC,"64GB","2RX4","6400",,,,,3
5,47,43,RDIMM,"2A P-DIE",WC,"128GB","2RX8","6400",,,,,4
6,48,43,RDIMM,"3A P-DIE",ES,"64GB","1RX4","7200",,,,,5
7,49,43,RDIMM,"3B P-DIE",ES,"128GB","2RX4","7200",,,,,6
8,50,43,LRDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",,,,,7
9,51,43,LRDIMM,"2A P-DIE",WC,"128GB","4RX4","6400",,,,,8
10,52,43,LRDIMM,"3A P-DIE",ES,"256GB","4RX4","7200",,,,,9
11,53,43,SODIMM,"1A P-DIE",WC,"16GB","1RX8","5600",,,,,10
12,54,43,SODIMM,"1B P-DIE",WC,"32GB","2RX8","5600",,,,,11
13,55,43,CUDIMM,"2A P-DIE",WC,"32GB","1RX8","6400",,,,,12
14,56,43,MRDIMM,"3A P-DIE",ES,"128GB","2RX4","8000",,,,,13
15,57,43,MRDIMM,"4A P-DIE",ES,"256GB","4RX4","8800",,,,,14
16,58,44,RDIMM,"1A P-DIE",WC,"16GB","2RX4","5600",,,,,0
17,59,44,RDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",,,,,1
18,60,44,RDIMM,"1B P-DIE",WC,"32GB","1RX4","6400",,,,,2
19,61,44,RDIMM,"2A P-DIE",WC,"64GB","2RX4","6400",,,,,3
20,62,44,RDIMM,"2A P-DIE",WC,"128GB","2RX8","6400",,,,,4
21,63,44,RDIMM,"3A P-DIE",ES,"64GB","1RX4","7200",,,,,5
22,64,44,RDIMM,"3B P-DIE",ES,"128GB","2RX4","7200",,,,,6
23,65,44,LRDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",,,,,7
24,66,44,LRDIMM,"2A P-DIE",WC,"128GB","4RX4","6400",,,,,8
25,67,44,LRDIMM,"3A P-DIE",ES,"256GB","4RX4","7200",,,,,9
26,68,44,SODIMM,"1A P-DIE",WC,"16GB","1RX8","5600",,,,,10
27,69,44,SODIMM,"1B P-DIE",WC,"32GB","2RX8","5600",,,,,11
28,70,44,CUDIMM,"2A P-DIE",WC,"32GB","1RX8","6400",,,,,12
29,71,44,MRDIMM,"3A P-DIE",ES,"128GB","2RX4","8000",,,,,13
30,72,44,MRDIMM,"4A P-DIE",ES,"256GB","4RX4","8800",,,,,14
31,73,45,"LP6
1295b 14x14
1070Mbps","16GB","1bnm 16Gb",PDBEREAGY0B1,VP,,,,,,0
32,74,45,"LP5X,496b
14x12.4
10700Mbps","12GB","1bnm 12Gb",K3KL4L40FA-BGCY,VL,,,,,,1
33,75,45,,"16GB","1bnm 16Gb",K3KL5L50EB-BGCY,VH,,,,,,2
34,76,45,,"24GB","1bnm 16Gb",K3KLELE0EA-BGCY,VH,,,,,,3
35,77,45,"LP7
272b 14x12
9600Mbps","12GB","1bnm 12Gb",K3KL3L30FM-BGCR,VH,,,,,,4
36,78,45,"LP8X,496b
14x12.4
12800Mbps","8GB","1bnm 8Gb",K3KK3K30CM-BGCR,VL,,,,,,5
37,79,45,,"12GB","1bnm 12Gb",K3KL3L30GM-BGCR,VL,,,,,,6
38,80,45,,"16GB","1bnm 16Gb",K3KL5L50FM-BGCR,VH,,,,,,7
39,81,45,,"24GB","1bnm 16Gb",K3KLELE0FB-BGCR,VH,,,,,,8
40,82,45,,"32GB","1anm 16Gb",K3LN8N80AM-BGCR,VP,,,,,,9
