"RAWDATA_ROW_SEQ","UPLOAD_SEQ","COMPANY","SEG","CHIPSET","SOC_CS","PART_NUMBER","DRAM_PROCESS","FLASH_PROCESS","DENSITY","MLC_TLC","PKG","VAL1_DATE","VAL1_ENG","VAL1_STATUS","VAL1_REMARK","VAL2_DATE","VAL2_ENG","VAL2_STATUS","VAL2_REMARK","VAL3_DATE","VAL3_ENG","SORT_ORDER"
1,46,Qualcomm,Premium,SM8750,Snapdragon 8 Elite,K3KL5L50EB-BGCY,"1bnm",UFS 4.0,"16GB",TLC,LP5X 496b,"25/01/10",JH,Pass,,"25/01/20",KR,Pass,,,,0
2,46,Qualcomm,Premium,SM8650,Snapdragon 8 Gen3,K3KL4L40FA-BGCY,"1bnm",UFS 4.0,"12GB",TLC,LP5X 496b,"24/10/05",JH,Pass,,"24/10/15",KR,Pass,,"24/11/01",JH,1
3,46,Qualcomm,Premium,SM8550,Snapdragon 8 Gen2,K3KL3L30EM-BGCO,"1bnm",UFS 3.1,"12GB",TLC,LP5X 272b,"24/03/12",KR,Pass,,"24/03/22",JH,Pass,,,,2
4,46,Qualcomm,Advanced,SM8475,Snapdragon 8+ Gen1,PDBEREAGY0B1,"1bnm",UFS 3.1,"16GB",TLC,LP6 1295b,"23/11/08",JH,Pass,,"23/11/18",KR,Pass,,,,3
5,46,Qualcomm,Advanced,SM8635,Snapdragon 7s Gen3,K3KL5L50EB-BGCY,"1bnm",UFS 4.0,"16GB",TLC,LP5X 496b,"25/02/14",KR,In Progress,Timing margin,,,,,,,4
6,46,Qualcomm,Premium,SM8850,Snapdragon 8 Gen4,K3KLELE0EA-BGCY,"1bnm",UFS 4.0,"24GB",TLC,LP5X 496b,"25/03/05",JH,Pass,,"25/03/15",KR,Pass,,"25/04/01",JH,5
7,46,Qualcomm,Premium,SM8950,Snapdragon 8 Gen5,K3KL3L30FM-BGCR,"1bnm",UFS 4.1,"12GB",TLC,LP7 272b,"25/04/03",KR,In Progress,Check part no.,,,,,,,6
8,46,Qualcomm,Advanced,SM8735,Snapdragon 8s Gen3,K3KK3K30CM-BGCR,"1bnm",UFS 4.0,"8GB",TLC,LP8X 496b,"25/03/20",JH,Fail,Voltage drop,,,,,,,7
9,46,Qualcomm,Premium,SM8975,Snapdragon 8 Elite+,K3KL5L50FM-BGCR,"1bnm",UFS 4.1,"16GB",TLC,LP8X 496b,"25/04/10",KR,Pass,,"25/04/18",JH,Pass,,,,8
10,46,Qualcomm,Premium,SM8845,Snapdragon 8s Gen4,K3KLELE0FB-BGCR,"1anm",UFS 4.1,"24GB",TLC,LP8X 496b,"25/04/15",JH,In Progress,,,,,,,,9
