"COL_H_SEQ","COL_SEQ","UPLOAD_SEQ","VENDOR","COL_IDX","CHIP_NM","CHIP_DT","SORT_ORDER"
1,1,1,INTEL,6,"SPR-SP
(4800)","01 '23",0
2,2,1,INTEL,7,"EMR-SP
(5600)","12 '23",1
3,3,1,INTEL,8,"GNR-AP
(6400)","01 '25",2
4,4,1,INTEL,9,"GNR-SP
(6400)","01 '25",3
5,5,1,INTEL,10,"SRF-AP
(6400)","06 '25",4
6,6,1,INTEL,11,"SRF-SP
(6400)","07 '24",5
7,7,1,INTEL,12,"GNR-APOC
(7200)","01 '25",6
8,8,1,INTEL,13,"CWF-AP
(7200)","06 '26",7
9,9,1,INTEL,14,"CWF-AP
(8000)","06 '26",8
10,10,1,INTEL,15,"DMR
(8000)","09 '27",9
11,11,1,INTEL,16,"DMROC
(8800)","09 '27",10
12,12,1,AMD,17,"GENOA
(4800)","12 '23",11
13,13,1,AMD,18,"TURIN
(5600)","08 '24",12
14,14,1,AMD,19,"TURIN
(6400)","08 '24",13
15,15,1,AMD,20,"TURIN
(7200)","08 '24",14
16,16,1,AMD,21,"VENICE
(8000)","06 '26",15
17,17,2,INTEL,6,"SPR-SP
(4800)","01 '23",0
18,18,2,INTEL,7,"EMR-SP
(5600)","12 '23",1
19,19,2,INTEL,8,"GNR-AP
(6400)","01 '25",2
20,20,2,INTEL,9,"GNR-SP
(6400)","01 '25",3
21,21,2,INTEL,10,"SRF-AP
(6400)","06 '25",4
22,22,2,INTEL,11,"SRF-SP
(6400)","07 '24",5
23,23,2,INTEL,12,"GNR-APOC
(7200)","01 '25",6
24,24,2,AMD,13,"GENOA
(4800)","12 '23",7
25,25,2,AMD,14,"TURIN
(5600)","08 '24",8
26,26,2,AMD,15,"TURIN
(6400)","08 '24",9
27,27,2,AMD,16,"TURIN
(7200)","08 '24",10
28,28,2,AMD,17,"VENICE
(8000)","06 '26",11
29,29,2,AMD,18,"GENOA-X
(5600)","06 '24",12
30,30,2,AMD,19,"BERGAMO
(4800)","08 '24",13
31,31,2,AMD,20,"SIENA
(4800)","08 '24",14
32,32,2,AMD,21,"TURIN-X
(6400)","12 '24",15
33,33,2,AMD,22,"VENICE
(6400)","06 '26",16
34,34,2,AMD,23,"VENICE-X
(7200)","09 '26",17
35,35,2,AMD,24,"NIOBE
(6400)","06 '27",18
36,36,2,AMD,25,"NIOBE
(7200)","09 '27",19
37,37,2,AMD,26,"NIOBE
(8000)","12 '27",20
38,38,2,AMD,27,"NIOBE+
(8800)","03 '28",21
39,39,3,SM8450,5,SM8450,"21.9",0
40,40,3,SM8475,6,SM8475,"21.11",1
41,41,3,SM8550,7,SM8550,"22.8",2
42,42,3,SM8635,8,SM8635,"24.3",3
43,43,3,SM8650,9,SM8650,"23.7",4
44,44,3,SM8750,10,SM8750,"24.7",5
45,45,3,SM8735,11,SM8735,"25.3",6
46,46,3,SM8850,12,SM8850,"25.7",7
47,47,3,SM8845,13,SM8845,"25.9",8
48,48,3,SM8847,14,SM8847,"26.4",9
49,49,3,SM8975,15,SM8975,"26.6",10
50,50,3,SM8950,16,SM8950,"26.6",11
