"ROW_SEQ","UPLOAD_SEQ","DIMM","PRODUCT","VER","DENSITY","ORG","SPEED","SORT_ORDER"
1,1,RDIMM,"1A P-DIE",WC,"16GB","2RX4","5600",0
2,1,RDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",1
3,1,RDIMM,"1B P-DIE",WC,"32GB","1RX4","6400",2
4,1,RDIMM,"2A P-DIE",WC,"64GB","2RX4","6400",3
5,1,RDIMM,"2A P-DIE",WC,"128GB","2RX8","6400",4
6,1,RDIMM,"3A P-DIE",ES,"64GB","1RX4","7200",5
7,1,RDIMM,"3B P-DIE",ES,"128GB","2RX4","7200",6
8,1,LRDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",7
9,1,LRDIMM,"2A P-DIE",WC,"128GB","4RX4","6400",8
10,1,LRDIMM,"3A P-DIE",ES,"256GB","4RX4","7200",9
11,1,SODIMM,"1A P-DIE",WC,"16GB","1RX8","5600",10
12,1,SODIMM,"1B P-DIE",WC,"32GB","2RX8","5600",11
13,1,CUDIMM,"2A P-DIE",WC,"32GB","1RX8","6400",12
14,1,MRDIMM,"3A P-DIE",ES,"128GB","2RX4","8000",13
15,1,MRDIMM,"4A P-DIE",ES,"256GB","4RX4","8800",14
16,2,RDIMM,"1A P-DIE",WC,"16GB","2RX4","5600",0
17,2,RDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",1
18,2,RDIMM,"1B P-DIE",WC,"32GB","1RX4","6400",2
19,2,RDIMM,"2A P-DIE",WC,"64GB","2RX4","6400",3
20,2,RDIMM,"2A P-DIE",WC,"128GB","2RX8","6400",4
21,2,RDIMM,"3A P-DIE",ES,"64GB","1RX4","7200",5
22,2,RDIMM,"3B P-DIE",ES,"128GB","2RX4","7200",6
23,2,LRDIMM,"1A P-DIE",WC,"32GB","2RX4","5600",7
24,2,LRDIMM,"2A P-DIE",WC,"128GB","4RX4","6400",8
25,2,LRDIMM,"3A P-DIE",ES,"256GB","4RX4","7200",9
26,2,SODIMM,"1A P-DIE",WC,"16GB","1RX8","5600",10
27,2,SODIMM,"1B P-DIE",WC,"32GB","2RX8","5600",11
28,2,CUDIMM,"2A P-DIE",WC,"32GB","1RX8","6400",12
29,2,MRDIMM,"3A P-DIE",ES,"128GB","2RX4","8000",13
30,2,MRDIMM,"4A P-DIE",ES,"256GB","4RX4","8800",14
31,3,"LP6
1295b 14x14
1070Mbps","1bnm 16Gb",VP,"16GB",PDBEREAGY0B1,,0
32,3,"LP5X,496b
14x12.4
10700Mbps","1bnm 12Gb",VL,"12GB",K3KL4L40FA-BGCY,,1
33,3,,"1bnm 16Gb",VH,"16GB",K3KL5L50EB-BGCY,,2
34,3,,"1bnm 16Gb",VH,"24GB",K3KLELE0EA-BGCY,,3
35,3,"LP7
272b 14x12
9600Mbps","1bnm 12Gb",VH,"12GB",K3KL3L30FM-BGCR,,4
36,3,"LP8X,496b
14x12.4
12800Mbps","1bnm 8Gb",VL,"8GB",K3KK3K30CM-BGCR,,5
37,3,,"1bnm 12Gb",VL,"12GB",K3KL3L30GM-BGCR,,6
38,3,,"1bnm 16Gb",VH,"16GB",K3KL5L50FM-BGCR,,7
39,3,,"1bnm 16Gb",VH,"24GB",K3KLELE0FB-BGCR,,8
40,3,,"1anm 16Gb",VP,"32GB",K3LN8N80AM-BGCR,,9
